data type,model,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_accuracy,test_matthews_corrcoef
raw data -- simple,knn,0.8635093167701864,0.9338801054018446,0.941304347826087,0.9591032608695652,0.9038306451612904,0.7360267414078026
raw data -- simple,rf,0.8279761904761905,0.907875457875458,0.9666666666666668,0.9408255693581781,0.897983870967742,0.7084291343775736
raw data -- simple,grad_b,0.8444616977225673,0.9212962962962964,0.9496376811594203,0.9433165113871634,0.8981854838709677,0.706732394023527
raw data -- simple,ada_b,0.8131469979296068,0.9086759906759907,0.9155797101449276,0.9032414596273292,0.8659274193548386,0.6416586076581379
raw data -- simple,svm,0.7202380952380952,0.8489698960043788,0.9833333333333334,0.8916860766045549,0.8528225806451614,0.5722513894224809
raw data -- simple,tree,0.7597567287784679,0.8876525070797934,0.8909420289855072,0.7597567287784679,0.8272177419354838,0.5580565426584897
raw data -- simple,lr,0.7381469979296066,0.8650370370370369,0.9155797101449276,0.899230072463768,0.827217741935484,0.5156390281375139
raw data -- simple,gb,0.7512681159420289,0.9507352941176471,0.6025362318840578,0.8409743788819876,0.6727822580645161,0.43492472706231416
no corr -- simple,rf,0.8696428571428572,0.9237106227106227,1.0,0.9551145186335404,0.9362903225806452,0.8240295884979153
no corr -- simple,knn,0.8692805383022775,0.9353864734299517,0.9492753623188406,0.9637810559006212,0.9102822580645162,0.7570800430588825
no corr -- simple,ada_b,0.8135093167701865,0.9028651059085842,0.941304347826087,0.9184782608695652,0.878225806451613,0.6631822614468368
no corr -- simple,grad_b,0.8022515527950309,0.8997602108036891,0.9402173913043479,0.9375517598343686,0.8721774193548388,0.6508141625503463
no corr -- simple,svm,0.7142857142857142,0.844126984126984,1.0,0.9040760869565219,0.8592741935483872,0.5965252381101974
no corr -- simple,tree,0.7767080745341616,0.8958450969320534,0.8641304347826088,0.7767080745341616,0.8209677419354838,0.5352553464707976
no corr -- simple,lr,0.7256469979296065,0.8588831908831909,0.9155797101449276,0.8783320393374741,0.8207661290322582,0.48991472725507074
no corr -- simple,gb,0.6957556935817805,0.8582010582010582,0.8057971014492752,0.835235507246377,0.7502016129032257,0.38070341760184495
pca transformed -- simple,knn,0.8645186335403727,0.9352314352314351,0.9326086956521739,0.968255046583851,0.8975806451612904,0.736736977269971
pca transformed -- simple,grad_b,0.8113095238095237,0.8943886853886855,0.9833333333333334,0.9159096790890271,0.8975806451612904,0.7156310143188137
pca transformed -- simple,rf,0.7795807453416148,0.8871847922192749,0.941304347826087,0.9438179347826086,0.8592741935483872,0.6053839957256336
pca transformed -- simple,ada_b,0.7446946169772256,0.8708921095008051,0.9072463768115944,0.818549430641822,0.8268145161290323,0.519594067840146
pca transformed -- simple,tree,0.7310559006211179,0.8687479187479188,0.8728260869565216,0.7310559006211179,0.8020161290322582,0.4644937681799829
pca transformed -- simple,lr,0.6986801242236025,0.8453992673992673,0.9152173913043479,0.843957039337474,0.8078629032258066,0.44050041004863993
pca transformed -- simple,svm,0.6863095238095238,0.8402661572439587,0.9583333333333333,0.904101966873706,0.8211693548387098,0.43144427404603125
pca transformed -- simple,gb,0.681055900621118,0.8495887445887446,0.8228260869565217,0.8479037267080747,0.7504032258064516,0.3536122455929023
pca -- simple,grad_b,0.8172619047619047,0.9087407407407408,0.9416666666666668,0.9316640786749482,0.8784274193548388,0.6842565292940024
pca -- simple,rf,0.8029761904761905,0.8939604324821717,0.9666666666666668,0.9564505693581781,0.8850806451612904,0.6741923733403948
pca -- simple,ada_b,0.8069616977225673,0.897111629111629,0.9496376811594203,0.8338056418219463,0.8784274193548388,0.6691530378388528
pca -- simple,knn,0.8111283643892341,0.9045387205387205,0.9329710144927535,0.9494824016563147,0.8723790322580646,0.644649730653403
pca -- simple,tree,0.7814182194616978,0.9012685560053981,0.873550724637681,0.7814182194616978,0.8274193548387098,0.5628395031212229
pca -- simple,svm,0.6845238095238095,0.8356190476190475,0.9833333333333332,0.8893245341614907,0.8338709677419356,0.45764908555545014
pca -- simple,lr,0.6903467908902691,0.8432862628514803,0.8985507246376813,0.8567093685300208,0.794959677419355,0.4101837729029749
pca -- simple,gb,0.7255693581780538,0.9032625040863026,0.7047101449275364,0.8404826604554867,0.7110887096774193,0.398481043634598
raw data -- smote,grad_b,0.8755952380952381,0.9435317725752508,0.9333333333333333,0.9480590062111801,0.9040322580645161,0.7538227387054715
raw data -- smote,knn,0.898913043478261,0.981304347826087,0.8478260869565217,0.949220367494824,0.8715725806451614,0.724394197203784
raw data -- smote,rf,0.872851966873706,0.9495317725752507,0.8992753623188406,0.938570781573499,0.8846774193548386,0.7210766717699898
raw data -- smote,ada_b,0.8651138716356108,0.9458498023715414,0.8909420289855072,0.9126229296066253,0.8786290322580644,0.6954773106514507
raw data -- smote,svm,0.8223084886128366,0.9354975845410628,0.8231884057971015,0.9181224120082817,0.8203629032258064,0.6068610445068637
raw data -- smote,tree,0.8020703933747413,0.9144701675136456,0.8648550724637681,0.8020703933747413,0.8340725806451614,0.5711007687882067
raw data -- smote,lr,0.8018892339544514,0.9226270221007062,0.8144927536231885,0.9039855072463767,0.8076612903225806,0.5547226125905798
raw data -- smote,gb,0.7429347826086956,0.9507352941176471,0.5858695652173912,0.8263134057971013,0.6598790322580645,0.423235983545532
no corr -- smote,rf,0.8857142857142858,0.9434731934731936,0.95,0.9566187888198758,0.9173387096774194,0.7767616545668552
no corr -- smote,grad_b,0.8603519668737059,0.9372053872053872,0.9242753623188404,0.9581521739130434,0.891733870967742,0.7056181321930726
no corr -- smote,knn,0.8693840579710145,0.9742424242424242,0.8137681159420289,0.935254917184265,0.839516129032258,0.669441926623754
no corr -- smote,ada_b,0.8208850931677019,0.9227602108036891,0.8739130434782609,0.9143504140786749,0.8463709677419354,0.6172872962363252
no corr -- smote,svm,0.7951604554865425,0.9214285714285714,0.822463768115942,0.9176695134575569,0.807258064516129,0.5793822187781774
no corr -- smote,tree,0.7832039337474119,0.907561076604555,0.8485507246376811,0.7832039337474119,0.8139112903225806,0.5471065674374469
no corr -- smote,lr,0.7614648033126294,0.9126270221007063,0.7550724637681159,0.8801953933747411,0.7564516129032258,0.4672259189907077
no corr -- smote,gb,0.7154503105590062,0.8821320346320347,0.7380434782608696,0.8252652691511388,0.7245967741935483,0.38543757715561816
pca transformed -- smote,knn,0.8848084886128366,0.978409090909091,0.8231884057971015,0.9524488871635611,0.8524193548387096,0.6992902916497858
pca transformed -- smote,svm,0.8599896480331264,0.957140350877193,0.8485507246376811,0.9154503105590063,0.8526209677419354,0.6763702616651643
pca transformed -- smote,rf,0.7810041407867494,0.9088361204013378,0.8405797101449275,0.9217003105590063,0.8078629032258065,0.5511326907809699
pca transformed -- smote,grad_b,0.7663561076604555,0.9027235921972764,0.8148550724637682,0.8773162525879916,0.7883064516129032,0.5042366034345096
pca transformed -- smote,ada_b,0.7564182194616977,0.8904285714285713,0.8485507246376811,0.818167701863354,0.801008064516129,0.502179623388683
pca transformed -- smote,lr,0.7455227743271221,0.8976062801932366,0.7731884057971016,0.864350414078675,0.7564516129032258,0.4599785970087445
pca transformed -- smote,gb,0.7239648033126294,0.8898099415204678,0.730072463768116,0.8330227743271221,0.7245967741935483,0.4063615369192231
pca transformed -- smote,tree,0.7034937888198758,0.8729871175523349,0.7891304347826087,0.7034937888198758,0.7433467741935484,0.38668083382284935
pca -- smote,rf,0.8648809523809524,0.9349090909090909,0.9333333333333332,0.9609019151138718,0.8977822580645162,0.737143113331177
pca -- smote,grad_b,0.8418995859213251,0.9206428836863619,0.9409420289855073,0.930958850931677,0.8909274193548388,0.7131075512997845
pca -- smote,knn,0.8802795031055901,0.974,0.8391304347826087,0.9499255952380953,0.8586693548387097,0.698606599760727
pca -- smote,tree,0.7725414078674948,0.9045079365079365,0.8557971014492753,0.7725414078674948,0.8141129032258065,0.5395941569745158
pca -- smote,ada_b,0.7711180124223602,0.8945610766045549,0.8565217391304347,0.8451669254658386,0.8141129032258065,0.5304229670245526
pca -- smote,svm,0.762008281573499,0.900316596087921,0.8311594202898551,0.8861607142857142,0.7949596774193548,0.5072571865115653
pca -- smote,lr,0.7453416149068322,0.8976403604920229,0.7728260869565218,0.8628299689440994,0.75625,0.45263483420989453
pca -- smote,gb,0.7456780538302278,0.9303199174406604,0.6449275362318841,0.8435947204968943,0.6921370967741935,0.4243334017752799
