data type,model,test_balanced_accuracy,test_precision,test_recall,test_roc_auc,test_accuracy,test_matthews_corrcoef
raw data -- simple,rf,0.8630952380952381,0.9294871794871795,0.9583333333333333,0.9469882246376811,0.9108870967741935,0.7504967728921434
raw data -- simple,knn,0.8635093167701864,0.9338801054018446,0.941304347826087,0.9591032608695652,0.9038306451612904,0.7360267414078026
raw data -- simple,grad_b,0.8527950310559007,0.9278428093645485,0.941304347826087,0.9392986542443065,0.8983870967741936,0.7110600817343242
raw data -- simple,ada_b,0.8299948240165632,0.9177668997668998,0.9242753623188407,0.9151979813664596,0.8788306451612902,0.6741411626870043
raw data -- simple,svm,0.7202380952380952,0.8489698960043788,0.9833333333333334,0.8916860766045549,0.8528225806451614,0.5722513894224809
raw data -- simple,lr,0.7381469979296066,0.8650370370370369,0.9155797101449276,0.899230072463768,0.827217741935484,0.5156390281375139
raw data -- simple,tree,0.7246376811594203,0.8679878296146045,0.8742753623188406,0.7246376811594203,0.8016129032258064,0.49762396114417234
raw data -- simple,gb,0.7512681159420289,0.9507352941176471,0.6025362318840578,0.8409743788819876,0.6727822580645161,0.43492472706231416
no corr -- simple,rf,0.8404761904761905,0.9079088319088319,0.9916666666666668,0.9482692805383023,0.9171370967741936,0.7679863143231735
no corr -- simple,knn,0.8692805383022775,0.9353864734299517,0.9492753623188406,0.9637810559006212,0.9102822580645162,0.7570800430588825
no corr -- simple,ada_b,0.8135093167701865,0.9028651059085842,0.941304347826087,0.9184782608695652,0.878225806451613,0.6631822614468368
no corr -- simple,grad_b,0.8022515527950309,0.8997602108036891,0.9402173913043479,0.9385934265010352,0.8721774193548388,0.6508141625503463
no corr -- simple,svm,0.7142857142857142,0.844126984126984,1.0,0.9040760869565219,0.8592741935483872,0.5965252381101974
no corr -- simple,tree,0.7786749482401657,0.8948616600790513,0.8644927536231884,0.7786749482401657,0.8211693548387098,0.5380359197556779
no corr -- simple,lr,0.7256469979296065,0.8588831908831909,0.9155797101449276,0.8783320393374741,0.8207661290322582,0.48991472725507074
no corr -- simple,gb,0.6957556935817805,0.8582010582010582,0.8057971014492752,0.835235507246377,0.7502016129032257,0.38070341760184495
pca transformed -- simple,knn,0.8645186335403727,0.9352314352314351,0.9326086956521739,0.968255046583851,0.8975806451612904,0.736736977269971
pca transformed -- simple,grad_b,0.8113095238095237,0.8943886853886855,0.9833333333333334,0.9180383022774325,0.8975806451612904,0.7156310143188137
pca transformed -- simple,rf,0.8111283643892341,0.8990740740740742,0.9579710144927537,0.9480784161490684,0.8848790322580646,0.6770107150065313
pca transformed -- simple,ada_b,0.7446946169772256,0.8708921095008051,0.9072463768115944,0.818549430641822,0.8268145161290323,0.519594067840146
pca transformed -- simple,tree,0.7518892339544514,0.8778647278647279,0.8894927536231882,0.7518892339544514,0.8207661290322582,0.5155703209391354
pca transformed -- simple,lr,0.6986801242236025,0.8453992673992673,0.9152173913043479,0.843957039337474,0.8078629032258066,0.44050041004863993
pca transformed -- simple,svm,0.6863095238095238,0.8402661572439587,0.9583333333333333,0.904101966873706,0.8211693548387098,0.43144427404603125
pca transformed -- simple,gb,0.681055900621118,0.8495887445887446,0.8228260869565217,0.8479037267080747,0.7504032258064516,0.3536122455929023
pca -- simple,ada_b,0.8069616977225673,0.897111629111629,0.9496376811594203,0.8338056418219463,0.8784274193548388,0.6691530378388528
pca -- simple,rf,0.8029761904761905,0.8948481144043363,0.9666666666666668,0.9617624223602483,0.8852822580645162,0.6669900844541702
pca -- simple,grad_b,0.8029761904761905,0.8987407407407408,0.9416666666666668,0.9316640786749482,0.871975806451613,0.6617380897892136
pca -- simple,knn,0.8111283643892341,0.9045387205387205,0.9329710144927535,0.9494824016563147,0.8723790322580646,0.644649730653403
pca -- simple,tree,0.7732660455486542,0.8876086071738245,0.9072463768115941,0.7732660455486542,0.8401209677419356,0.566898637400882
pca -- simple,svm,0.6845238095238095,0.8356190476190475,0.9833333333333332,0.8893245341614907,0.8338709677419356,0.45764908555545014
pca -- simple,lr,0.6903467908902691,0.8432862628514803,0.8985507246376813,0.8567093685300208,0.794959677419355,0.4101837729029749
pca -- simple,gb,0.7255693581780538,0.9032625040863026,0.7047101449275364,0.8404826604554867,0.7110887096774193,0.398481043634598
raw data -- smote,knn,0.9201086956521738,0.9916666666666668,0.8652173913043478,0.9454548395445135,0.8907258064516128,0.773142643225958
raw data -- smote,grad_b,0.8710662525879916,0.9402173913043479,0.9242753623188404,0.9497994306418219,0.8975806451612904,0.7305765382341531
raw data -- smote,rf,0.8462474120082817,0.932952380952381,0.8996376811594203,0.9352258022774327,0.8719758064516128,0.6784374953503644
raw data -- smote,svm,0.8458850931677018,0.944751552795031,0.8489130434782609,0.925297619047619,0.8461693548387096,0.6511620121667707
raw data -- smote,ada_b,0.8048136645962733,0.9115217391304347,0.8739130434782607,0.8945069875776397,0.8399193548387098,0.5926738547998069
raw data -- smote,tree,0.7768892339544514,0.9052573352573352,0.8394927536231884,0.7768892339544514,0.8078629032258065,0.5229471856940595
raw data -- smote,lr,0.768555900621118,0.9057847012322716,0.7978260869565218,0.9075116459627329,0.7820564516129032,0.4963489292380654
raw data -- smote,gb,0.7514492753623189,0.9414473684210527,0.6278985507246377,0.8289013975155279,0.6856854838709677,0.43678439721120055
no corr -- smote,rf,0.8730331262939959,0.9385610766045549,0.9496376811594203,0.9699987060041408,0.9108870967741935,0.7534897341966099
no corr -- smote,knn,0.8822463768115941,0.9746376811594203,0.8394927536231883,0.9329289596273291,0.8588709677419356,0.7014436002776006
no corr -- smote,ada_b,0.8598084886128365,0.949909090909091,0.8731884057971016,0.9291019668737059,0.8651209677419356,0.6820309985955241
no corr -- smote,grad_b,0.8129140786749482,0.9104558629776021,0.9329710144927537,0.948537784679089,0.8725806451612902,0.6320112597179509
no corr -- smote,svm,0.8161749482401657,0.9325925925925926,0.8394927536231884,0.917591873706004,0.8268145161290322,0.6052163897633123
no corr -- smote,tree,0.7790372670807452,0.8967784679089027,0.8652173913043478,0.7790372670807452,0.8211693548387096,0.5396637905187164
no corr -- smote,lr,0.7471790890269151,0.9028261190059548,0.7550724637681159,0.8798977743271221,0.7502016129032258,0.4427532280336641
no corr -- smote,gb,0.7234213250517598,0.8880849181777976,0.7289855072463768,0.8373835403726707,0.7245967741935483,0.39495969502747763
pca transformed -- smote,knn,0.88046066252588,0.9783625730994151,0.8144927536231885,0.9505790631469979,0.8459677419354839,0.6893186469265206
pca transformed -- smote,rf,0.8496376811594203,0.9421404682274247,0.8742753623188406,0.9432226966873707,0.8590725806451613,0.6772555368374723
pca transformed -- smote,svm,0.8599896480331264,0.957140350877193,0.8485507246376811,0.9271933229813664,0.8526209677419354,0.6763702616651643
pca transformed -- smote,grad_b,0.7665372670807453,0.8907628603280777,0.8652173913043478,0.8985701345755693,0.8145161290322582,0.5212367079683973
pca transformed -- smote,tree,0.748447204968944,0.8826638176638177,0.8576086956521738,0.748447204968944,0.8014112903225806,0.5088470988082134
pca transformed -- smote,ada_b,0.7109989648033126,0.8668353084823673,0.7898550724637681,0.8076410455486542,0.7493951612903226,0.4290569924584916
pca transformed -- smote,lr,0.7324792960662525,0.894470588235294,0.7471014492753623,0.8490359730848862,0.7370967741935484,0.4235727602045293
pca transformed -- smote,gb,0.7033126293995859,0.8751984126984127,0.7387681159420291,0.8395121635610765,0.7183467741935483,0.371876513048457
pca -- smote,rf,0.8754140786749482,0.941608695652174,0.9329710144927537,0.9603940217391305,0.9038306451612904,0.7485532850989178
pca -- smote,knn,0.8739130434782609,0.9663967611336032,0.8478260869565217,0.9414628623188406,0.8588709677419356,0.695008911085926
pca -- smote,grad_b,0.8129140786749482,0.9083823472878946,0.9329710144927537,0.9165825569358178,0.871975806451613,0.6662699615374366
